datetime,BPM,,datetime,BPM
2/28/2018 17:57,0,,5:57:56,0
2/28/2018 17:57,0,,5:57:57,0
2/28/2018 17:57,37,,5:57:58,37
2/28/2018 17:57,38,,5:57:59,38
2/28/2018 17:58,41,,5:58:00,41
2/28/2018 17:58,55,,5:58:01,55
2/28/2018 17:58,69,,5:58:02,69
2/28/2018 17:58,128,,5:58:03,128
2/28/2018 17:58,150,,5:58:04,150
2/28/2018 17:58,151,,5:58:05,151
2/28/2018 17:58,157,,5:58:06,157
2/28/2018 17:58,135,,5:58:07,135
2/28/2018 17:58,139,,5:58:08,139
2/28/2018 17:58,155,,5:58:10,155
2/28/2018 17:58,130,,5:58:11,130
2/28/2018 17:58,135,,5:58:12,135
2/28/2018 17:58,128,,5:58:13,128
2/28/2018 17:58,128,,5:58:14,128
2/28/2018 17:58,118,,5:58:15,118
2/28/2018 17:58,125,,5:58:16,125
2/28/2018 17:58,129,,5:58:17,129
2/28/2018 17:58,124,,5:58:18,124
2/28/2018 17:58,116,,5:58:19,116
2/28/2018 17:58,109,,5:58:20,109
2/28/2018 17:58,121,,5:58:21,121
2/28/2018 17:58,134,,5:58:22,134
2/28/2018 17:58,119,,5:58:23,119
2/28/2018 17:58,112,,5:58:24,112
2/28/2018 17:58,101,,5:58:25,101
2/28/2018 17:58,100,,5:58:26,100
2/28/2018 17:58,102,,5:58:27,102
2/28/2018 17:58,119,,5:58:28,119
2/28/2018 17:58,171,,5:58:29,171
2/28/2018 17:58,166,,5:58:30,166
2/28/2018 17:58,174,,5:58:31,174
2/28/2018 17:58,168,,5:58:32,168
2/28/2018 17:58,121,,5:58:33,121
2/28/2018 17:58,112,,5:58:34,112
2/28/2018 17:58,106,,5:58:35,106
2/28/2018 17:58,110,,5:58:36,110
2/28/2018 17:58,110,,5:58:37,110
2/28/2018 17:58,80,,5:58:38,80
2/28/2018 17:58,80,,5:58:39,80
2/28/2018 17:58,69,,5:58:40,69
2/28/2018 17:58,69,,5:58:41,69
2/28/2018 17:58,77,,5:58:42,77
2/28/2018 17:58,70,,5:58:43,70
2/28/2018 17:58,67,,5:58:44,67
2/28/2018 17:58,66,,5:58:45,66
2/28/2018 17:58,66,,5:58:46,66
2/28/2018 17:58,0,,5:58:47,0
2/28/2018 17:58,180,,5:58:48,180
2/28/2018 17:58,150,,5:58:49,150
2/28/2018 17:58,153,,5:58:50,153
2/28/2018 17:58,148,,5:58:51,148
2/28/2018 17:58,172,,5:58:52,172
2/28/2018 17:58,156,,5:58:53,156
2/28/2018 17:58,153,,5:58:54,153
