datetime,BPM
2018-03-02 20:50:34,0
2018-03-02 20:50:35,113
2018-03-02 20:50:36,114
2018-03-02 20:50:37,114
2018-03-02 20:50:38,90
2018-03-02 20:50:39,83
2018-03-02 20:50:40,81
2018-03-02 20:50:41,85
2018-03-02 20:50:42,80
2018-03-02 20:50:43,79
2018-03-02 20:50:44,72
2018-03-02 20:50:45,66
2018-03-02 20:50:46,74
2018-03-02 20:50:47,81
2018-03-02 20:50:48,80
2018-03-02 20:50:49,78
2018-03-02 20:50:50,84
2018-03-02 20:50:51,99
2018-03-02 20:50:52,110
2018-03-02 20:50:53,118
2018-03-02 20:50:54,126
2018-03-02 20:50:55,155
2018-03-02 20:50:56,159
2018-03-02 20:50:57,180
2018-03-02 20:50:58,158
2018-03-02 20:50:59,158
2018-03-02 20:51:00,115
2018-03-02 20:51:01,99
2018-03-02 20:51:02,99
2018-03-02 20:51:03,99
2018-03-02 20:51:04,0
2018-03-02 20:51:05,0
2018-03-02 20:51:06,0
2018-03-02 20:51:07,0
2018-03-02 20:51:08,58
2018-03-02 20:51:09,58
2018-03-02 20:51:10,56
2018-03-02 20:51:11,57
2018-03-02 20:51:12,57
2018-03-02 20:51:13,0
2018-03-02 20:51:14,0
2018-03-02 20:51:15,0
2018-03-02 20:51:16,0
2018-03-02 20:51:17,0
2018-03-02 20:51:18,0
2018-03-02 20:51:19,0
2018-03-02 20:51:20,0
