datetime,X_gyro,Y_gyro,Z_gyro,X_acc,Y_acc,Z_acc,X_comp,Y_comp,Z_comp,BPM,Label
36:02.9,-0.058071624,0.080373682,-0.00353215,-0.224121094,-0.045410156,0.745605469,12.91801834,-6.561529636,33.5078392,#N/A,0
36:03.1,0.032121275,0.032590386,0.105708875,-0.182617188,0.105712891,0.865966797,14.47194672,-6.932340145,34.63519287,#N/A,0
36:03.3,-0.15994674,0.011264224,0.011049677,-0.220458984,0.064697266,0.953857422,15.78054619,-6.15793705,35.68768692,#N/A,0
36:03.5,0.10635981,-0.119749501,0.087451056,-0.240478516,0.112304688,0.897949219,16.14204597,-6.306631565,36.1870575,0,0
36:03.7,0.269645572,-0.132940412,0.172458768,-0.158447266,0.100585938,0.674560547,18.23903275,-5.541471481,35.25787354,0,0
36:03.9,0.177590102,-0.050995067,0.216624111,-0.089111328,0.024169922,0.887207031,20.22190475,-4.075494289,33.22148514,0,0
36:04.1,-0.126246154,0.088418424,0.331028312,-0.116210938,0.024169922,1.030273438,20.83615875,-3.406193495,32.53409958,0,0
36:04.3,-0.381660193,-0.07015112,0.208642423,-0.063232422,0.026855469,1.015136719,21.18614197,-3.690937042,32.92142868,0,0
36:04.5,-0.472119302,0.095867999,-0.041450471,-0.240234375,-0.082763672,1.014160156,20.1631794,-4.354118347,34.67132568,237,0
36:04.7,-0.365164697,-0.17231673,0.037834302,-0.107421875,-0.141845703,0.911621094,18.5551796,-5.873934269,37.91528702,237,0
36:04.9,0.229205027,-0.204243481,0.226734251,-0.149902344,-0.031738281,1.539306641,19.25953674,-7.367605209,39.88082123,237,0
36:05.2,0.857097805,0.080436736,-0.262277186,-0.096679688,-0.352539063,1.082275391,19.5077858,-7.322845936,38.4905777,237,0
36:05.3,-0.072457872,0.141828105,-0.489384145,-0.169921875,-0.129150391,0.750732422,19.53523254,-5.60687542,36.20410156,237,0
36:05.5,-0.184201524,-0.066227898,-0.299419969,-0.146728516,0.115966797,0.720214844,17.68053818,-6.885500431,37.13456345,235,0
36:05.7,0.015490329,0.06415201,-0.087604553,-0.208740234,-0.005371094,0.951171875,15.58286285,-7.405189991,38.14448929,235,0
36:06.0,0.333433002,-0.081999272,0.150552541,-0.214355469,0.033203125,0.905517578,16.0830574,-8.624899864,39.23796082,235,0
36:06.2,0.026936181,-0.112329692,0.575178385,-0.186523438,0.099609375,0.962646484,17.96475601,-7.474663734,37.58899307,235,0
36:06.4,0.447837204,-0.246954173,0.312846869,-0.058837891,0.222412109,0.698486328,20.55094528,-5.752075672,36.25650406,235,0
36:06.6,0.078018986,-0.149045467,0.070203543,-0.125488281,-0.069091797,0.996337891,22.39139938,-4.312311172,35.00320053,235,0
36:06.8,-0.346231371,0.225458309,0.083704486,-0.153808594,-0.054443359,1.005371094,21.78145409,-4.602564812,33.88519287,235,0
36:07.0,-0.643682241,0.229183093,0.155007571,-0.057128906,-0.23828125,0.952880859,18.87017059,-5.142799854,35.51418686,235,0
36:07.2,-0.465956688,-0.15340583,-0.37976554,-0.249755859,-0.224609375,0.981689453,18.01844025,-7.931083679,38.85366821,235,0
36:07.4,-0.525021136,0.116907343,-0.380829781,-0.087890625,-0.270263672,0.941162109,16.51917839,-10.60472965,42.12234116,235,0
36:07.6,0.016669402,-0.01292812,-0.460646659,-0.156738281,-0.382568359,1.130859375,15.9557209,-12.9688282,44.61373901,143,0
36:07.8,1.167628884,-0.134249777,0.134787291,-0.140869141,-0.353515625,1.439941406,16.21793365,-10.9846487,43.36666107,143,0
36:08.0,0.575919688,0.025916096,0.375834286,-0.066894531,-0.34375,0.869140625,17.97919273,-7.140369892,37.83452225,143,0
36:08.2,-0.29355222,0.04400792,-0.607509732,-0.138916016,-0.110595703,0.77734375,20.12226868,-5.437245846,35.67039108,143,0
36:08.4,0.040614463,-0.005478545,-0.309526682,-0.079345703,0.074707031,0.717529297,18.30960655,-7.817592144,38.30206299,143,0
36:08.6,0.032397792,0.041806333,-0.248600528,-0.135009766,-0.123046875,1.036132813,18.26642036,-8.649914742,39.64273453,118,0
36:08.8,0.076563135,-0.093350261,0.500613928,-0.119140625,-0.060791016,0.962402344,16.88330269,-8.571576118,39.52499771,118,0
36:09.0,0.182724699,-0.183768824,0.16473183,-0.079101563,0.073974609,0.851074219,17.95872498,-8.759488106,39.22861099,118,0
36:09.2,0.477515042,-0.193878964,0.37970528,-0.112060547,-0.141601563,0.866210938,19.82534218,-6.964859962,38.27807236,118,0
36:09.4,0.15239428,0.094526038,0.606917322,-0.039306641,-0.09375,0.958007813,22.4141655,-5.110030174,35.06318283,118,0
36:09.6,-0.017881734,0.112617865,0.201979712,-0.068847656,-0.039794922,1.032226563,24.52269936,-4.255497456,34.44434738,108,0
